CellId,Nuclear Volume [fL],Cellular Volume [fL],Nuclear Surface Area [um^2],Cellular Surface Area [um^2],Radial Proximity [unitless],Apical Proximity [unitless]
137698,394.467686,1105.30948,245.572,702.4032,0.777100554439257,-0.296801319125269
137703,444.001745,1406.830687,262.2238,833.6833,0.726826137623388,-0.307555514505659
137704,276.229814,1509.947379,177.9556,728.8106,0.888931095819113,-0.0134646569366081
137707,506.413196,1682.450776,266.3447,832.7582,0.837829171884432,-0.221747793038402
137708,984.437596,3039.064512,462.1295,1529.8631,0.588980959174302,-0.147956547337459
137709,831.299065,2682.424165,388.9625,1470.909,0.746439205532192,-0.205109339925548
137710,536.826279,1795.27429,296.7048,1042.2513,0.742845653385605,-0.241849863784077
137711,849.273758,2641.036032,405.1097,1299.4291,0.73493023946932,-0.337978340292003
137712,988.900783,3051.576069,441.1045,1275.1242,0.685580700101968,-0.135033108349514
137714,684.209006,2401.438496,339.0912,1191.2765,0.879853396092209,-0.0142078725514519
137716,498.364826,1459.486538,263.9899,719.4755,0.760290563644249,-0.215479563104613
137717,679.23365,2302.150877,343.7167,1095.3184,0.757579132521973,-0.308319799864212
137718,878.004,2958.532034,435.7221,1377.4739,0.712494110786239,0.0516661891989258
137720,688.086857,2099.039285,330.9335,895.8332,0.785051754153651,-0.257983973386937
137724,829.201611,2891.462284,377.8613,1284.207,0.829151170618559,-0.184219205628826
137726,832.908739,2648.913679,408.9783,1325.5842,0.709762003983768,-0.157193795952203
137729,529.777858,1625.648795,341.3619,1012.6481,0.592170673498327,-0.0135955946838316
137732,511.998277,1983.630537,342.7916,1157.9729,0.680884286010617,-0.0142296548245594
137734,640.186861,2151.695136,368.1898,1247.3712,0.639619109485947,-0.116234477535304
137736,731.938279,2264.51865,395.4382,1229.9625,0.673765357865486,-0.166867428131737
137737,403.88184,1689.474808,239.2645,860.5112,0.772053174820075,-0.0161147696322105
137738,499.73061,1760.812633,300.9098,988.4273,0.745171268437208,-0.372578543805849
137739,817.811948,2717.373602,412.931,1471.2454,0.670919783907348,-0.00537794842685313
137740,857.614796,2672.473453,444.7208,1264.4435,0.683642896657222,0.0222064138802649
137741,569.336816,1897.244699,309.5721,1031.9911,0.770101497932474,-0.174641317260788
137742,902.124721,2664.400694,434.3765,1245.1005,0.651748355418703,0.101422548111856
137743,675.648467,2105.575537,382.7391,1003.9858,0.557880153629885,-0.00569072286409755
137744,600.993738,2201.546252,321.262,1055.7073,0.714768973937863,0.000752418355709716
137745,663.575912,2055.139085,336.3159,1147.2922,0.672008318475151,0.0941765102982812
137746,673.62418,1864.563439,367.0965,1018.8715,0.462256417011182,-0.124145853941464
137747,625.138848,1652.208416,318.4026,878.3404,0.757945561298571,-0.187522124013415
137748,602.798524,2059.358382,290.9019,881.1998,0.775043735389018,-0.379039476898915
137751,581.945929,1755.910444,309.8244,939.5652,0.676322266994056,0.0256825637726665
137753,894.978744,2634.377835,430.2556,1177.6523,0.689684010807341,-0.360431742279534
137754,661.600403,2003.995352,339.0912,1077.7415,0.748192522319822,-0.313672411828438
137759,959.780317,3225.640362,441.2727,1487.6449,0.759141329286635,-0.300211544303943
137760,512.047055,1512.532613,279.212,908.0277,0.473055779456629,-0.0676054174188618
137761,848.346976,3072.184774,402.5867,1366.9614,0.630098738636839,-0.118834775782852
137762,938.196052,3405.216569,459.1019,1765.8477,0.622483035902321,-0.116039781998795
137763,736.669745,1742.155048,354.061,833.5151,0.618309637072489,-0.239894403695768
137768,514.85179,1644.428325,267.1016,736.8001,0.703576771605841,-0.0153964881955113
137769,768.643724,2187.156742,364.9099,1118.0254,0.568112639657802,-0.334079726296182
137770,815.958384,2279.39594,389.7194,1060.5851,0.668087973355737,-0.197661724231124
137771,682.623721,2056.992649,347.5012,1135.0136,0.573070871139758,-0.149405787156004
137772,700.183801,1965.631455,363.0597,1132.4906,0.474073035880831,-0.356395855891827
137773,557.800819,1615.966362,293.9295,894.824,0.538518671830041,-0.279786125564397
137776,959.853484,2760.664077,452.0375,1305.5684,0.558980239534336,-0.236021377580973
137777,679.306817,1702.157088,378.6182,1052.091,0.715027454217774,-0.140085408403856
137778,819.592345,2676.765917,426.2188,1201.5367,0.847505567561829,-0.202084725789618
137780,520.192981,1759.837073,274.0819,917.7833,0.869185525417224,-0.264849689644937
137783,521.461209,1551.945237,303.9374,916.8582,0.530020800603119,0.0854304293916461
137784,879.394173,2594.282319,407.6327,1253.7628,0.54213012554947,0.142504050408789
137785,1016.557909,2967.555964,450.1032,1222.3094,0.534117920536102,0.0318498563062306
137787,1020.752817,2880.853069,454.8969,1258.977,0.552547839062813,-0.122465649349027
137788,533.826432,1771.031624,306.8809,920.6427,0.797426073471879,-0.0419794061403909
137789,853.224776,2226.423032,460.027,1171.9335,0.381931493050655,-0.0131615928256943
137790,766.521881,2179.766875,361.3777,992.8005,0.588923589414809,-0.239963580593153
137793,646.210944,2018.482418,321.7666,1114.9978,0.671662283297979,-0.219447906119646
137794,590.018688,1785.226022,303.6851,959.1605,0.664094716432665,-0.265013347589758
137796,681.696939,2173.669625,332.5314,898.6926,0.612121242774403,-0.150350641810084
137797,684.257784,1950.778554,348.2581,925.941,0.621309761654565,-0.0562725641865695
137801,501.92562,1652.793752,268.5313,873.9672,0.773003738813987,-0.267677594826032
137802,773.155689,2464.630395,373.1517,1173.6996,0.74057165333414,-0.254942592185564
137803,730.889552,2083.454714,359.4434,1039.1396,0.700599976457801,-0.338506092247326
137804,696.184005,2238.739477,332.2791,1077.4051,0.747246173259164,-0.226621578643154
137807,502.65729,1383.051412,290.986,839.6544,0.636216243459177,-0.268388649779478
137808,773.423968,2183.132557,367.0965,1098.346,0.532285232635826,0.0562391109878921
137811,979.998798,2523.432274,470.96,1293.7944,0.218435403440402,0.0759498028309575
137813,793.813172,2357.611463,354.902,1083.2921,0.734539879480964,-0.266660842323135
137814,622.212168,1630.453428,306.0399,840.0749,0.67692626369112,-0.332067201472901
137815,639.47958,1493.509193,321.0938,824.8528,0.685811906315539,-0.480346693013713
137826,532.631371,1814.931824,280.8099,1075.4708,0.713619140000896,-0.0885999023675742
137829,732.987006,2412.0721,377.1044,1262.8456,0.779090437292659,-0.111029749868646
137830,765.131708,2378.220168,365.6668,1241.7365,0.660090525202496,-0.210821316600968
137831,739.572036,2542.748362,386.4395,1332.144,0.760176712770479,-0.0248982053993922
145756,260.937911,3097.134721,227.1541,1250.567,0.949667911841866,0.101881714348094
145765,621.139052,1908.097804,397.9612,1157.7206,0.702972268927705,-0.0115748860258351
145768,665.039252,2154.743761,359.6116,1203.8074,0.694910037136655,0.127744605229426
145778,816.421775,2165.670033,462.3818,1321.1269,0.662034405164668,0.13695509911235
145783,296.497073,1292.641389,216.6416,684.1535,0.788566738807253,0.190140023687622
145789,731.523666,2076.259959,448.4212,995.0712,0.564874272597544,0.139448332758348
145810,451.1965,1220.42556,286.9492,773.5518,0.50071127716832,0.0437657154722362
145813,250.71892,1020.557705,191.9162,642.1876,0.612799437817379,0.314323163501291
145816,773.61908,2374.683763,481.4725,1384.0337,0.731288953735737,0.309000438813654
145836,563.14201,1709.937179,343.8008,999.949,0.750702355666712,0.0292117257715283
145852,341.275277,1697.328066,223.7901,921.2314,0.822826890888848,0.0987273754825804
145876,200.575136,1435.097538,171.2276,643.365,0.917333779097478,0.413286153868226
145878,231.354054,1354.979673,187.2907,678.0983,0.90709854294742,0.323232125226915
145905,485.853269,1511.215607,311.3382,830.908,0.631928995712714,0.215208119817746
145915,538.26523,1316.810888,329.672,848.0644,0.508666522959795,0.00194450842725558
145936,565.33702,1828.662831,308.647,911.8963,0.786913665428781,0.140111674064492
145939,926.635666,2845.781687,456.3266,1340.554,0.772893472603286,0.226513478598114
145959,246.133788,3013.943842,225.2198,1346.9456,0.964771062671253,-0.13794799722928
145967,290.643713,1719.058665,201.4195,859.8384,0.878702696605062,0.292306517470015
145977,468.317578,1780.250666,298.7232,964.8793,0.740390596462696,0.198273898379865
145978,836.713423,2843.51351,457.3358,1324.7432,0.709318542889876,0.182457685724851
145980,653.673978,2290.688047,366.0032,1082.367,0.734769226189772,0.256135453490732
145991,246.036232,3923.238929,203.3538,1669.5532,0.927346781255916,0.101511386207378
146037,173.698458,2987.481777,152.4733,1435.9234,0.958182010108909,0.015465625542427
146039,670.185331,1934.998871,413.6038,1052.6797,0.629222730768685,-0.0193782868663172
146050,592.920979,1915.99984,372.7312,1053.4366,0.661606282037813,0.402462640222328
146067,866.321669,2384.634475,443.9639,1240.475,0.628715546605895,0.16177342063481
146149,528.777909,1622.429447,303.3487,969.5048,0.766582371162254,0.133813303405135
146151,457.147416,1459.803595,293.4249,860.2589,0.676707128289409,0.0472309325690272
146153,445.074861,1427.780838,277.6141,936.7899,0.719608750455981,0.176476732874706
146157,272.400741,2948.264265,266.597,1034.0936,0.966374119084413,-0.00792833540968263
146171,280.522278,1359.589194,210.25,603.4175,0.862940805010512,0.375146767634156
146183,582.384931,1845.857076,352.2108,1032.9162,0.667144596532056,0.432946265221809
146191,593.238036,1801.517874,337.6615,1035.6074,0.777349883086901,0.0766889225773388
146200,440.343395,1471.583482,305.0307,931.9121,0.72126049667167,0.138193678757811
146218,543.118641,1666.207702,339.0071,893.4784,0.601477772391884,0.295904374634431
146223,204.038374,1874.636096,161.8084,792.6425,0.92520000737851,0.304439815450142
146228,246.353289,2740.616319,233.1252,1102.0464,0.953032424787911,-0.225024763814392
146233,268.083888,3023.723831,239.0963,1177.4841,0.935633971684971,-0.018832624526498
146244,284.570852,1060.092274,196.2894,683.5648,0.8110680187733,0.060494589524491
146256,257.108838,2652.206194,246.1607,1117.1003,0.938911929682351,0.32178983270684
146259,619.919602,1967.241129,383.2437,1117.2685,0.583682355388681,0.0887795868944365
146264,820.665461,2051.992904,444.1321,1156.4591,0.68881456690481,0.167045281485957
146269,604.774033,2002.971014,372.9835,1178.3251,0.684154339510104,0.0975710088259623
146270,175.454466,1923.706764,150.9595,873.2103,0.942037694681244,-0.0181660657579852
146277,293.228947,3173.49668,262.0556,1199.6865,0.937275926963132,-0.0978441872739496
146279,614.919857,1902.463945,360.4526,998.6034,0.696598763339108,0.306347720230534
146309,241.792546,1579.553585,178.0397,781.5413,0.920519122400131,-0.163245293729583
146319,302.984547,2317.223279,206.2973,1022.1514,0.884200287630996,-0.0289037960593216
146342,669.819496,1854.905395,381.7299,937.2104,0.72592900942556,0.112631266972033
146379,326.276042,1492.460466,207.1383,683.4807,0.815333951607709,0.173039429366465
146382,731.450499,2293.639116,390.3922,1092.7954,0.725513050199063,0.176013180091931
146389,231.085775,1119.820935,172.1527,678.6029,0.856234951050011,0.175837183622909
146397,234.37829,2647.840563,202.681,1118.53,0.930872199808846,-0.152140054885978
146402,608.286049,1859.075914,367.0965,1030.8978,0.703237676988323,-0.0251044679342473
146422,287.765811,3475.530056,246.1607,1292.0283,0.948412508202809,-0.094091582562983
